device_number,hoursfloor,poke_reward,count,mode,sex,days
1,-48,Active,0,Empty,m,-2
1,-48,Inactive,0,Empty,m,-2
1,-47,Active,0,Empty,m,-2
1,-47,Inactive,0,Empty,m,-2
1,-46,Active,3,Empty,m,-2
1,-46,Inactive,1,Empty,m,-2
1,-45,Active,3,Empty,m,-2
1,-45,Inactive,1,Empty,m,-2
1,-44,Active,0,Empty,m,-2
1,-44,Inactive,0,Empty,m,-2
1,-43,Active,1,Empty,m,-2
1,-43,Inactive,0,Empty,m,-2
1,-42,Active,3,Empty,m,-2
1,-42,Inactive,3,Empty,m,-2
1,-41,Active,24,Empty,m,-2
1,-41,Inactive,9,Empty,m,-2
1,-40,Active,31,Empty,m,-2
1,-40,Inactive,14,Empty,m,-2
1,-39,Active,36,Empty,m,-2
1,-39,Inactive,10,Empty,m,-2
1,-38,Active,26,Empty,m,-2
1,-38,Inactive,15,Empty,m,-2
1,-37,Active,3,Empty,m,-2
1,-37,Inactive,1,Empty,m,-2
1,-36,Active,0,Empty,m,-2
1,-36,Inactive,0,Empty,m,-2
1,-35,Active,25,Empty,m,-2
1,-35,Inactive,5,Empty,m,-2
1,-34,Active,12,Empty,m,-2
1,-34,Inactive,5,Empty,m,-2
1,-33,Active,0,Empty,m,-2
1,-33,Inactive,0,Empty,m,-2
1,-32,Active,14,Empty,m,-2
1,-32,Inactive,4,Empty,m,-2
1,-31,Active,6,Empty,m,-2
1,-31,Inactive,0,Empty,m,-2
1,-30,Active,0,Empty,m,-2
1,-30,Inactive,0,Empty,m,-2
1,-29,Active,1,Empty,m,-2
1,-29,Inactive,0,Empty,m,-2
1,-28,Active,10,Empty,m,-2
1,-28,Inactive,2,Empty,m,-2
1,-27,Active,0,Empty,m,-2
1,-27,Inactive,0,Empty,m,-2
1,-26,Active,2,Empty,m,-2
1,-26,Inactive,0,Empty,m,-2
1,-25,Active,10,Empty,m,-2
1,-25,Inactive,1,Empty,m,-2
1,-24,Active,1,Empty,m,-1
1,-24,Inactive,0,Empty,m,-1
1,-23,Active,3,Empty,m,-1
1,-23,Inactive,0,Empty,m,-1
1,-22,Active,1,Empty,m,-1
1,-22,Inactive,0,Empty,m,-1
1,-21,Active,0,Empty,m,-1
1,-21,Inactive,2,Empty,m,-1
1,-20,Active,0,Empty,m,-1
1,-20,Inactive,0,Empty,m,-1
1,-19,Active,0,Empty,m,-1
1,-19,Inactive,0,Empty,m,-1
1,-18,Active,0,Empty,m,-1
1,-18,Inactive,0,Empty,m,-1
1,-17,Active,13,Empty,m,-1
1,-17,Inactive,1,Empty,m,-1
1,-16,Active,9,Empty,m,-1
1,-16,Inactive,5,Empty,m,-1
1,-15,Active,8,Empty,m,-1
1,-15,Inactive,1,Empty,m,-1
1,-14,Active,12,Empty,m,-1
1,-14,Inactive,4,Empty,m,-1
1,-13,Active,8,Empty,m,-1
1,-13,Inactive,0,Empty,m,-1
1,-12,Active,1,Empty,m,-1
1,-12,Inactive,0,Empty,m,-1
1,-11,Active,3,Empty,m,-1
1,-11,Inactive,3,Empty,m,-1
1,-10,Active,8,Empty,m,-1
1,-10,Inactive,0,Empty,m,-1
1,-9,Active,4,Empty,m,-1
1,-9,Inactive,1,Empty,m,-1
1,-8,Active,2,Empty,m,-1
1,-8,Inactive,6,Empty,m,-1
1,-7,Active,3,Empty,m,-1
1,-7,Inactive,1,Empty,m,-1
1,-6,Active,0,Empty,m,-1
1,-6,Inactive,0,Empty,m,-1
1,-5,Active,8,Empty,m,-1
1,-5,Inactive,0,Empty,m,-1
1,-4,Active,0,Empty,m,-1
1,-4,Inactive,1,Empty,m,-1
1,-3,Active,3,Empty,m,-1
1,-3,Inactive,0,Empty,m,-1
1,-2,Active,2,Empty,m,-1
1,-2,Inactive,1,Empty,m,-1
1,-1,Active,0,Empty,m,-1
1,-1,Inactive,0,Empty,m,-1
1,0,Active,0,Social,m,0
1,0,Inactive,0,Social,m,0
1,1,Active,7,Social,m,0
1,1,Inactive,1,Social,m,0
1,2,Active,1,Social,m,0
1,2,Inactive,2,Social,m,0
1,3,Active,4,Social,m,0
1,3,Inactive,6,Social,m,0
1,4,Active,3,Social,m,0
1,4,Inactive,0,Social,m,0
1,5,Active,0,Social,m,0
1,5,Inactive,0,Social,m,0
1,6,Active,3,Social,m,0
1,6,Inactive,2,Social,m,0
1,7,Active,9,Social,m,0
1,7,Inactive,1,Social,m,0
1,8,Active,8,Social,m,0
1,8,Inactive,0,Social,m,0
1,9,Active,42,Social,m,0
1,9,Inactive,6,Social,m,0
1,10,Active,20,Social,m,0
1,10,Inactive,1,Social,m,0
1,11,Active,21,Social,m,0
1,11,Inactive,5,Social,m,0
1,12,Active,7,Social,m,0
1,12,Inactive,0,Social,m,0
1,13,Active,1,Social,m,0
1,13,Inactive,0,Social,m,0
1,14,Active,14,Social,m,0
1,14,Inactive,2,Social,m,0
1,15,Active,27,Social,m,0
1,15,Inactive,1,Social,m,0
1,16,Active,9,Social,m,0
1,16,Inactive,0,Social,m,0
1,17,Active,6,Social,m,0
1,17,Inactive,0,Social,m,0
1,18,Active,9,Social,m,0
1,18,Inactive,1,Social,m,0
1,19,Active,16,Social,m,0
1,19,Inactive,3,Social,m,0
1,20,Active,7,Social,m,0
1,20,Inactive,2,Social,m,0
1,21,Active,0,Social,m,0
1,21,Inactive,0,Social,m,0
1,22,Active,6,Social,m,0
1,22,Inactive,2,Social,m,0
1,23,Active,0,Social,m,0
1,23,Inactive,1,Social,m,0
1,24,Active,1,Social,m,1
1,24,Inactive,1,Social,m,1
1,25,Active,1,Social,m,1
1,25,Inactive,1,Social,m,1
1,26,Active,0,Social,m,1
1,26,Inactive,0,Social,m,1
1,27,Active,18,Social,m,1
1,27,Inactive,2,Social,m,1
1,28,Active,1,Social,m,1
1,28,Inactive,2,Social,m,1
1,29,Active,0,Social,m,1
1,29,Inactive,0,Social,m,1
1,30,Active,8,Social,m,1
1,30,Inactive,0,Social,m,1
1,31,Active,4,Social,m,1
1,31,Inactive,0,Social,m,1
1,32,Active,45,Social,m,1
1,32,Inactive,4,Social,m,1
1,33,Active,23,Social,m,1
1,33,Inactive,1,Social,m,1
1,34,Active,11,Social,m,1
