,device_number,mode,behavior,event
0,1,empty,Exploring,20.0
1,1,empty,Seeking,35.0
2,1,extinction,Exploring,20.4
3,1,extinction,Seeking,44.8
4,1,social,Exploring,20.333333333333332
5,1,social,Seeking,85.33333333333333
6,4,empty,Exploring,10.8
7,4,empty,Seeking,30.8
8,4,extinction,Exploring,16.25
9,4,extinction,Seeking,32.8
10,4,social,Exploring,11.666666666666666
11,4,social,Seeking,78.33333333333333
12,7,empty,Exploring,10.4
13,7,empty,Seeking,18.8
14,7,extinction,Exploring,9.6
15,7,extinction,Seeking,39.25
16,7,social,Exploring,17.333333333333332
17,7,social,Seeking,61.333333333333336
18,8,empty,Exploring,15.8
19,8,empty,Seeking,10.666666666666666
20,8,extinction,Exploring,19.0
21,8,extinction,Seeking,61.5
22,8,social,Exploring,22.0
23,8,social,Seeking,97.66666666666667
24,10,empty,Exploring,16.0
25,10,empty,Seeking,10.0
26,10,extinction,Exploring,5.0
27,10,extinction,Seeking,39.4
28,10,social,Exploring,7.571428571428571
29,10,social,Seeking,59.375
30,11,empty,Exploring,8.2
31,11,empty,Seeking,27.8
32,11,extinction,Exploring,12.0
33,11,extinction,Seeking,34.4
34,11,social,Exploring,6.375
35,11,social,Seeking,68.1
36,12,empty,Exploring,19.0
37,12,empty,Seeking,19.0
38,12,extinction,Exploring,8.0
39,12,extinction,Seeking,27.2
40,12,social,Exploring,14.1
41,12,social,Seeking,62.0
42,14,empty,Exploring,9.2
43,14,empty,Seeking,23.8
44,14,extinction,Exploring,33.8
45,14,extinction,Seeking,46.0
46,14,social,Exploring,15.9
47,14,social,Seeking,64.2
48,15,empty,Exploring,17.4
49,15,empty,Seeking,23.0
50,15,extinction,Exploring,9.0
51,15,extinction,Seeking,49.0
52,15,social,Exploring,5.0
53,15,social,Seeking,75.2
54,16,empty,Exploring,19.0
55,16,empty,Seeking,38.0
56,16,extinction,Exploring,15.8
57,16,extinction,Seeking,59.4
58,16,social,Exploring,13.3
59,16,social,Seeking,90.2
